top - 00:54:19 up  8:25,  2 users,  load average: 5.90, 4.74, 4.22
Tasks: 442 total,   1 running, 440 sleeping,   0 stopped,   1 zombie
%Cpu(s): 19.0 us,  5.8 sy,  0.0 ni, 73.0 id,  0.0 wa,  1.5 hi,  0.7 si,  0.0 st 
MiB Mem :  31867.4 total,   2200.2 free,  19525.3 used,  14626.9 buff/cache     
MiB Swap:  15933.5 total,  15933.4 free,      0.1 used.  12342.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1074 systemd+  20   0   24180  17300  12948 S   0.0   0.1   0:01.62 /usr/li+
   1076 root      16  -4   29120   3108   2100 S   0.0   0.0   0:00.03 /usr/bi+
   1078 root      16  -4    6604   3844   3476 S   0.0   0.0   0:00.00 /usr/sb+
   1085 root       0 -20       0      0      0 I   0.0   0.0   0:11.76 [kworke+
   1115 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
   1116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
   1370 dbus      20   0   10196   5772   4584 S   0.0   0.0   0:00.05 /usr/bi+
   1372 dbus      20   0    8688   6928   3112 S   0.0   0.0   0:06.14 dbus-br+
   1374 avahi     20   0    6772   4992   4336 S   0.0   0.0   0:03.52 avahi-d+
   1375 root      20   0    9256   6088   5512 S   0.0   0.0   0:00.34 /usr/li+
   1378 chrony    20   0   86472   6752   5916 S   0.0   0.0   0:00.07 /usr/sb+
   1380 root      20   0  251824  20316   8016 S   0.0   0.1   0:00.09 /usr/bi+
   1382 root      20   0  457552  56668  21000 S   0.0   0.2   0:00.69 /usr/bi+
   1385 root      20   0    3208   2148   1996 S   0.0   0.0   0:00.00 /usr/sb+
   1388 polkitd   20   0  384964  13712   8140 S   0.0   0.0   0:02.24 /usr/li+
   1390 rtkit     21   1   21772   3680   3428 S   0.0   0.0   0:00.11 /usr/li+
   1391 root      20   0    9684   6240   5196 S   0.0   0.0   0:00.02 /usr/bi+
   1392 root      20   0  531472   7272   6576 S   0.0   0.0   0:00.04 /usr/li+
   1393 root      20   0   17332   8908   7524 S   0.0   0.0   0:00.49 /usr/li+
   1395 root      20   0   17244   8480   7292 S   0.0   0.0   0:00.49 /usr/li+
   1396 root      20   0  610680  10344   9396 S   0.0   0.0   0:06.23 /usr/bi+
   1404 root      20   0  477680  15452  12768 S   0.0   0.0   0:00.27 /usr/li+
   1409 root      20   0  543164  12408   8680 S   0.0   0.0   0:15.30 /usr/li+
   1431 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 [psimon]
   1453 avahi     20   0    6500   1588   1248 S   0.0   0.0   0:00.00 avahi-d+
   1458 root      20   0  534552   8792   7404 S   0.0   0.0   0:00.07 /usr/li+
